io_industry,io_industry_name,upstreamness
1111A0,Oilseed farming,4.230754
1111B0,Grain farming,3.403827
111200,Vegetable and melon farming,1.360043
111335,Tree nut farming,1.757601
1113A0,Fruit farming,1.509174
111400,"Greenhouse, nursery, and floriculture production",1.349269
111910,Tobacco farming,2.097073
111920,Cotton farming,3.964029
1119A0,Sugarcane and sugar beet farming,3.277686
1119B0,All other crop farming,3.401238
112120,Dairy cattle and milk production,2.678099
1121A0,Cattle ranching and farming,3.208775
112300,Poultry and egg production,2.429202
112A00,"Animal production, except cattle and poultry and eggs",2.583803
113300,Logging,4.281475
113A00,"Forest nurseries, forest products, and timber tracts",4.59558
114100,Fishing,2.213703
114200,Hunting and trapping,1
115000,Support activities for agriculture and forestry,3.881188
211000,Oil and gas extraction,3.346802
212100,Coal mining,3.135484
212210,Iron ore mining,4.349806
212230,"Copper, nickel, lead, and zinc mining",3.695198
2122A0,"Gold, silver, and other metal ore mining",4.017757
212310,Stone mining and quarrying,2.774435
212320,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",2.758433
212390,Other nonmetallic mineral mining and quarrying,3.360732
213111,Drilling oil and gas wells,1
213112,Support activities for oil and gas operations,1.323609
21311A,Support activities for other mining,2.200378
221100,"Electric power generation, transmission, and distribution",2.111785
221200,Natural gas distribution,2.253914
221300,"Water, sewage and other systems",1.611937
230101,Nonresidential commercial and health care structures,1
230102,Nonresidential manufacturing structures,1
230103,Other nonresidential structures,1
230201,Residential permanent site single- and multi-family structures,1
230202,Other residential structures,1.036107
230301,Nonresidential maintenance and repair,2.816364
230302,Residential maintenance and repair,2.118943
311111,Dog and cat food manufacturing,1.029119
311119,Other animal food manufacturing,3.344265
311210,Flour milling and malt manufacturing,2.100155
311221,Wet corn milling,2.523252
311225,Fats and oils refining and blending,2.220603
31122A,Soybean and other oilseed processing,3.194323
311230,Breakfast cereal manufacturing,1.056176
311313,Beet sugar manufacturing,2.171782
31131A,Sugar cane mills and refining,2.195367
311320,Chocolate and confectionery manufacturing from cacao beans,1.95127
311330,Confectionery manufacturing from purchased chocolate,1.051483
311340,Nonchocolate confectionery manufacturing,1.16861
311410,Frozen food manufacturing,1.279537
311420,"Fruit and vegetable canning, pickling, and drying",1.441796
311513,Cheese manufacturing,1.868375
311514,"Dry, condensed, and evaporated dairy product manufacturing",1.761657
31151A,Fluid milk and butter manufacturing,1.473283
311520,Ice cream and frozen dessert manufacturing,1.864227
311615,Poultry processing,1.500601
31161A,"Animal (except poultry) slaughtering, rendering, and processing",1.695412
311700,Seafood product preparation and packaging,1.822791
311810,Bread and bakery product manufacturing,1.182631
311820,"Cookie, cracker, and pasta manufacturing",1.183229
311830,Tortilla manufacturing,1.053684
311910,Snack food manufacturing,1.188462
311920,Coffee and tea manufacturing,1.476222
311930,Flavoring syrup and concentrate manufacturing,2.381121
311940,Seasoning and dressing manufacturing,1.554893
311990,All other food manufacturing,1.429612
312110,Soft drink and ice manufacturing,1.190918
312120,Breweries,1.090393
312130,Wineries,1.287828
312140,Distilleries,1.493887
3122A0,Tobacco product manufacturing,1.065421
313100,"Fiber, yarn, and thread mills",2.768621
313210,Broadwoven fabric mills,2.464607
313220,Narrow fabric mills and schiffli machine embroidery,2.300124
313230,Nonwoven fabric mills,2.756306
313240,Knit fabric mills,2.526388
313310,Textile and fabric finishing mills,2.595838
313320,Fabric coating mills,2.821826
314110,Carpet and rug mills,1.218855
314120,Curtain and linen mills,1.240585
314910,Textile bag and canvas mills,2.103457
314990,All other textile product mills,2.116669
315100,Apparel knitting mills,1.294906
315210,Cut and sew apparel contractors,2.601452
315220,Men's and boys' cut and sew apparel manufacturing,1.075044
315230,Women's and girls' cut and sew apparel manufacturing,1.024395
315290,Other cut and sew apparel manufacturing,1.124554
315900,Apparel accessories and other apparel manufacturing,1.279085
316100,Leather and hide tanning and finishing,2.702784
316200,Footwear manufacturing,1.007311
316900,Other leather and allied product manufacturing,1.496118
321100,Sawmills and wood preservation,3.00569
321219,Reconstituted wood product manufacturing,2.537048
32121A,Veneer and plywood manufacturing,2.600225
32121B,Engineered wood member and truss manufacturing,2.356648
321910,Wood windows and doors and millwork,2.433991
321920,Wood container and pallet manufacturing,2.522333
321991,Manufactured home (mobile home) manufacturing,1.019412
321992,Prefabricated wood building manufacturing,2.286916
321999,All other miscellaneous wood product manufacturing,2.233684
322110,Pulp mills,3.550628
322120,Paper mills,2.718318
322130,Paperboard mills,3.343466
322210,Paperboard container manufacturing,2.747045
32222A,"Coated and laminated paper, packaging paper and plastics film manufacturing",2.659793
32222B,All other paper bag and coated and treated paper manufacturing,2.639048
322230,Stationery product manufacturing,2.099156
322291,Sanitary paper product manufacturing,1.422351
322299,All other converted paper product manufacturing,2.196707
323110,Printing,2.57354
323120,Support activities for printing,3.103222
324110,Petroleum refineries,2.396137
324121,Asphalt paving mixture and block manufacturing,2.299469
324122,Asphalt shingle and coating materials manufacturing,2.340249
324191,Petroleum lubricating oil and grease manufacturing,2.26958
324199,All other petroleum and coal products manufacturing,3.280993
325110,Petrochemical manufacturing,4.651128
325120,Industrial gas manufacturing,3.226115
325130,Synthetic dye and pigment manufacturing,3.518264
325181,Alkalies and chlorine manufacturing,3.61121
325182,Carbon black manufacturing,3.419316
325188,All other basic inorganic chemical manufacturing,3.239471
325190,Other basic organic chemical manufacturing,3.852873
325211,Plastics material and resin manufacturing,3.571221
325212,Synthetic rubber manufacturing,3.047806
325220,Artificial and synthetic fibers and filaments manufacturing,3.108516
325310,Fertilizer manufacturing,3.761748
325320,Pesticide and other agricultural chemical manufacturing,2.84393
325411,Medicinal and botanical manufacturing,2.588009
325412,Pharmaceutical preparation manufacturing,1.309221
325413,In-vitro diagnostic substance manufacturing,2.048075
325414,Biological product (except diagnostic) manufacturing,2.80664
325510,Paint and coating manufacturing,2.691293
325520,Adhesive manufacturing,2.953803
325610,Soap and cleaning compound manufacturing,1.749035
325620,Toilet preparation manufacturing,1.103007
325910,Printing ink manufacturing,3.487998
3259A0,All other chemical product and preparation manufacturing,2.87632
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,2.791692
326121,Unlaminated plastics profile shape manufacturing,3.053815
326122,Plastics pipe and pipe fitting manufacturing,2.701609
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",2.913646
326140,Polystyrene foam product manufacturing,2.397522
326150,Urethane and other foam product (except polystyrene) manufacturing,2.345125
326160,Plastics bottle manufacturing,2.480154
32619A,Other plastics product manufacturing,2.41743
326210,Tire manufacturing,1.938411
326220,Rubber and plastics hoses and belting manufacturing,2.620635
326290,Other rubber product manufacturing,2.553101
32711A,"Pottery, ceramics, and plumbing fixture manufacturing",1.727483
32712A,"Brick, tile, and other structural clay product manufacturing",2.288481
32712B,Clay and nonclay refractory manufacturing,3.464831
327211,Flat glass manufacturing,3.096117
327212,Other pressed and blown glass and glassware manufacturing,2.375571
327213,Glass container manufacturing,2.251093
327215,Glass product manufacturing made of purchased glass,2.182254
327310,Cement manufacturing,2.985872
327320,Ready-mix concrete manufacturing,2.225789
327330,"Concrete pipe, brick, and block manufacturing",2.287087
327390,Other concrete product manufacturing,2.378345
3274A0,Lime and gypsum product manufacturing,2.609839
327910,Abrasive product manufacturing,3.028388
327991,Cut stone and stone product manufacturing,1.711409
327992,Ground or treated mineral and earth manufacturing,3.48571
327993,Mineral wool manufacturing,2.289911
327999,Miscellaneous nonmetallic mineral products,2.587112
331110,Iron and steel mills and ferroalloy manufacturing,3.358125
331200,Steel product manufacturing from purchased steel,3.449966
331314,Secondary smelting and alloying of aluminum,4.063665
33131A,Alumina refining and primary aluminum production,3.814386
33131B,Aluminum product manufacturing from purchased aluminum,3.136834
331411,Primary smelting and refining of copper,4.354704
331419,Primary smelting and refining of nonferrous metal (except copper and aluminum),3.418573
331420,"Copper rolling, drawing, extruding and alloying",3.610851
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",3.395847
331510,Ferrous metal foundries,3.129271
331520,Nonferrous metal foundries,3.190171
332114,Custom roll forming,3.114781
33211A,"All other forging, stamping, and sintering",2.95856
33211B,Crown and closure manufacturing and metal stamping,2.870307
33221A,"Cutlery, utensil, pot, and pan manufacturing",1.339913
33221B,Handtool manufacturing,2.268283
332310,Plate work and fabricated structural product manufacturing,2.640646
332320,Ornamental and architectural metal products manufacturing,2.481679
332410,Power boiler and heat exchanger manufacturing,2.031704
332420,Metal tank (heavy gauge) manufacturing,1.749666
332430,"Metal can, box, and other metal container (light gauge) manufacturing",2.627341
332500,Hardware manufacturing,2.549264
332600,Spring and wire product manufacturing,2.736695
332710,Machine shops,3.029314
332720,"Turned product and screw, nut, and bolt manufacturing",2.962788
332800,"Coating, engraving, heat treating and allied activities",3.075837
332913,Plumbing fixture fitting and trim manufacturing,2.349101
33291A,Valve and fittings other than plumbing,2.736969
332991,Ball and roller bearing manufacturing,3.15459
332996,Fabricated pipe and pipe fitting manufacturing,2.386264
33299A,Ammunition manufacturing,1.624976
33299B,"Arms, ordnance, and accessories manufacturing",1.237099
33299C,Other fabricated metal manufacturing,2.641157
333111,Farm machinery and equipment manufacturing,1.363757
333112,Lawn and garden equipment manufacturing,1.209999
333120,Construction machinery manufacturing,1.286298
333130,Mining and oil and gas field machinery manufacturing,1.761722
333220,Plastics and rubber industry machinery manufacturing,1.473882
333295,Semiconductor machinery manufacturing,1.519713
33329A,Other industrial machinery manufacturing,1.577565
333314,Optical instrument and lens manufacturing,1.410594
333315,Photographic and photocopying equipment manufacturing,1.119738
333319,Other commercial and service industry machinery manufacturing,1.294822
33331A,"Vending, commercial, industrial, and office machinery manufacturing",1.347139
333414,Heating equipment (except warm air furnaces) manufacturing,1.977326
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",2.123901
33341A,Air purification and ventilation equipment manufacturing,1.987501
333511,Industrial mold manufacturing,1.343298
333514,"Special tool, die, jig, and fixture manufacturing",1.368082
333515,Cutting tool and machine tool accessory manufacturing,3.159751
33351A,Metal cutting and forming machine tool manufacturing,1.405965
33351B,Rolling mill and other metalworking machinery manufacturing,1.171752
333611,Turbine and turbine generator set units manufacturing,1.441552
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",2.839321
333613,Mechanical power transmission equipment manufacturing,2.670284
333618,Other engine equipment manufacturing,2.257358
333911,Pump and pumping equipment manufacturing,1.443069
333912,Air and gas compressor manufacturing,1.293963
333920,Material handling equipment manufacturing,1.602306
333991,Power-driven handtool manufacturing,1.132338
333993,Packaging machinery manufacturing,1.282231
333994,Industrial process furnace and oven manufacturing,1.592919
33399A,Other general purpose machinery manufacturing,1.616858
33399B,Fluid power process machinery,2.616025
334111,Electronic computer manufacturing,1.04282
334112,Computer storage device manufacturing,1.784119
33411A,Computer terminals and other computer peripheral equipment manufacturing,1.689875
334210,Telephone apparatus manufacturing,1.348115
334220,Broadcast and wireless communications equipment,1.356948
334290,Other communications equipment manufacturing,2.410977
334300,Audio and video equipment manufacturing,1.133374
334411,Electron tube manufacturing,2.403311
334412,Bare printed circuit board manufacturing,2.994973
334413,Semiconductor and related device manufacturing,2.908526
334417,Electronic connector manufacturing,2.757734
334418,Printed circuit assembly (electronic assembly) manufacturing,3.026501
334419,Other electronic component manufacturing,2.780408
33441A,"Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing",2.945011
334510,Electromedical and electrotherapeutic apparatus manufacturing,1.179048
334511,"Search, detection, and navigation instruments manufacturing",1.375505
334512,Automatic environmental control manufacturing,2.584858
334513,Industrial process variable instruments manufacturing,1.810129
334514,Totalizing fluid meters and counting devices manufacturing,1.970213
334515,Electricity and signal testing instruments manufacturing,1.375099
334516,Analytical laboratory instrument manufacturing,1.305697
334517,Irradiation apparatus manufacturing,1.148457
33451A,"Watch, clock, and other measuring and controlling device manufacturing",1.379513
334613,Magnetic and optical recording media manufacturing,2.431097
33461A,"Software, audio, and video media reproducing",3.148854
335110,Electric lamp bulb and part manufacturing,1.90237
335120,Lighting fixture manufacturing,2.017924
335210,Small electrical appliance manufacturing,1.199925
335221,Household cooking appliance manufacturing,1.093545
335222,Household refrigerator and home freezer manufacturing,1.050015
335224,Household laundry equipment manufacturing,1.056777
335228,Other major household appliance manufacturing,1.463688
335311,"Power, distribution, and specialty transformer manufacturing",1.503915
335312,Motor and generator manufacturing,2.341714
335313,Switchgear and switchboard apparatus manufacturing,2.051859
335314,Relay and industrial control manufacturing,2.731175
335911,Storage battery manufacturing,1.97574
335912,Primary battery manufacturing,1.120086
335920,Communication and energy wire and cable manufacturing,2.741731
335930,Wiring device manufacturing,2.420727
335991,Carbon and graphite product manufacturing,3.748428
335999,All other miscellaneous electrical equipment and component manufacturing,1.334298
336111,Automobile manufacturing,1.000336
336112,Light truck and utility vehicle manufacturing,1.00054
336120,Heavy duty truck manufacturing,1.117674
336211,Motor vehicle body manufacturing,1.613977
336212,Truck trailer manufacturing,1.016525
336213,Motor home manufacturing,1.012255
336214,Travel trailer and camper manufacturing,1.258694
336300,Motor vehicle parts manufacturing,2.295051
336411,Aircraft manufacturing,1.283283
336412,Aircraft engine and engine parts manufacturing,2.694185
336413,Other aircraft parts and auxiliary equipment manufacturing,2.430147
336414,Guided missile and space vehicle manufacturing,1.633018
33641A,Propulsion units and parts for space vehicle and guided missiles,2.021602
336500,Railroad rolling stock manufacturing,1.774936
336611,Ship building and repairing,1.311445
336612,Boat building,1.033576
336991,"Motorcycle, bicycle, and parts manufacturing",1.219898
336992,"Military armored vehicle, tank, and tank component manufacturing",1.069563
336999,All other transportation equipment manufacturing,1.224218
337110,Wood kitchen cabinet and countertop manufacturing,2.100219
337121,Upholstered household furniture manufacturing,1.007245
337122,Nonupholstered wood household furniture manufacturing,1.005199
337127,Institutional furniture manufacturing,1.086546
33712A,Metal and other household furniture (except wood) manufacturing,1.095818
337212,Office furniture and custom architectural woodwork and millwork manufacturing,1.225291
337215,"Showcase, partition, shelving, and locker manufacturing",1.46821
33721A,"Wood television, radio, and sewing machine cabinet manufacturing",2.007962
337910,Mattress manufacturing,1.028845
337920,Blind and shade manufacturing,1.041274
339111,Laboratory apparatus and furniture manufacturing,1.038281
339112,Surgical and medical instrument manufacturing,1.438459
339113,Surgical appliance and supplies manufacturing,1.694542
339114,Dental equipment and supplies manufacturing,1.733966
339115,Ophthalmic goods manufacturing,1.057229
339116,Dental laboratories,2.006519
339910,Jewelry and silverware manufacturing,1.139179
339920,Sporting and athletic goods manufacturing,1.084966
339930,"Doll, toy, and game manufacturing",1.030368
339940,Office supplies (except paper) manufacturing,1.980701
339950,Sign manufacturing,1.134041
339991,"Gasket, packing, and sealing device manufacturing",3.132913
339992,Musical instrument manufacturing,1.153763
339994,"Broom, brush, and mop manufacturing",1.809248
33999A,All other miscellaneous manufacturing,1.436005
420000,Wholesale trade,1.891922
481000,Air transportation,1.613762
482000,Rail transportation,2.880222
483000,Water transportation,1.788765
484000,Truck transportation,2.195139
485000,Transit and ground passenger transportation,1.790613
486000,Pipeline transportation,3.059353
48A000,Scenic and sightseeing transportation and support activities for transportation,2.813615
491000,Postal service,2.578029
492000,Couriers and messengers,2.943761
493000,Warehousing and storage,2.752308
4A0000,Retail trade,1.125046
511110,Newspaper publishers,1.078418
511120,Periodical publishers,1.558364
511130,Book publishers,1.333911
5111A0,"Directory, mailing list, and other publishers",1.820265
511200,Software publishers,1.260137
512100,Motion picture and video industries,2.501264
512200,Sound recording industries,1.678507
515100,Radio and television broadcasting,4.014117
515200,Cable and other subscription programming,3.305211
516110,Internet publishing and broadcasting,3.033708
517000,Telecommunications,1.941025
518100,Internet service providers and web search portals,1.625285
518200,"Data processing, hosting, and related services",2.804744
519100,Other information services,1.776074
522A00,Nondepository credit intermediation and related activities,2.344634
523000,"Securities, commodity contracts, investments, and related activities",2.15841
524100,Insurance carriers,1.661194
524200,"Insurance agencies, brokerages, and related activities",2.914803
525000,"Funds, trusts, and other financial vehicles",1.179416
52A000,Monetary authorities and depository credit intermediation,2.109439
531000,Real estate,2.006876
532100,Automotive equipment rental and leasing,2.026366
532230,Video tape and disc rental,1
532400,Commercial and industrial machinery and equipment rental and leasing,2.888114
532A00,General and consumer goods rental except video tapes and discs,1.642349
533000,Lessors of nonfinancial intangible assets,3.308292
541100,Legal services,2.143709
541200,"Accounting, tax preparation, bookkeeping, and payroll services",2.638026
541300,"Architectural, engineering, and related services",2.263994
541400,Specialized design services,2.810282
541511,Custom computer programming services,1.07318
541512,Computer systems design services,2.207829
54151A,"Other computer related services, including facilities management",2.812059
541610,"Management, scientific, and technical consulting services",2.878356
5416A0,Environmental and other technical consulting services,2.72559
541700,Scientific research and development services,2.464522
541800,Advertising and related services,2.909793
541920,Photographic services,1.654096
541940,Veterinary services,1.208289
5419A0,"All other miscellaneous professional, scientific, and technical services",2.991941
550000,Management of companies and enterprises,2.930482
561100,Office administrative services,2.789222
561200,Facilities support services,2.421758
561300,Employment services,2.847225
561400,Business support services,2.739254
561500,Travel arrangement and reservation services,2.264586
561600,Investigation and security services,2.393543
561700,Services to buildings and dwellings,2.604299
561900,Other support services,2.623678
562000,Waste management and remediation services,2.376486
611100,Elementary and secondary schools,1
611A00,"Junior colleges, colleges, universities, and professional schools",1.148859
611B00,Other educational services,1.177201
621600,Home health care services,1.000262
621A00,"Offices of physicians, dentists, and other health practitioners",1.002037
621B00,Medical and diagnostic labs and outpatient and other ambulatory care services,1.182615
622000,Hospitals,1.002521
623000,Nursing and residential care facilities,1.00463
624200,"Community food, housing, and other relief services, including rehabilitation services",1.002391
624400,Child day care services,1.02905
624A00,Individual and family services,1.018066
711100,Performing arts companies,1.548084
711200,Spectator sports,2.529968
711500,"Independent artists, writers, and performers",2.99244
711A00,Promoters of performing arts and sports and agents for public figures,2.140941
712000,"Museums, historical sites, zoos, and parks",1
713940,Fitness and recreational sports centers,1.350605
713950,Bowling centers,1.022438
713A00,"Amusement parks, arcades, and gambling industries",1.004495
713B00,Other amusement and recreation industries,1.348826
7211A0,"Hotels and motels, including casino hotels",1.922821
721A00,Other accommodations,1.021601
722000,Food services and drinking places,1.389456
811192,Car washes,1.364022
8111A0,"Automotive repair and maintenance, except car washes",1.446234
811200,Electronic and precision equipment repair and maintenance,2.347298
811300,Commercial and industrial machinery and equipment repair and maintenance,2.910212
811400,Personal and household goods repair and maintenance,1.992768
812100,Personal care services,1.016808
812200,Death care services,1
812300,Dry-cleaning and laundry services,1.663161
812900,Other personal services,1.174635
813100,Religious organizations,1
813A00,"Grantmaking, giving, and social advocacy organizations",1.006721
813B00,"Civic, social, professional, and similar organizations",1.860186
814000,Private households,1
S00101,Federal electric utilities,1
S00102,Other Federal Government enterprises,3.251808
S00201,State and local government passenger transit,1
S00202,State and local government electric utilities,1
S00203,Other state and local government enterprises,1.364874
S00500,General Federal defense government services,1
S00600,General Federal nondefense government services,1
S00700,General state and local government services,1
S00800,Owner-occupied dwellings,1
